1,Kellen,Horton,khorton@university.com
2,Kamron,Saunders,ksaunders@university.com
3,Dominick,Pope,dpope@university.com
4,Gerardo,Grimes,ggrimes@university.com
5,Elaine,Cabrera,ecabrera@university.com
6,Sophie,Norris,snorris@university.com
7,Julio,Cohen,jcohen@university.com
8,Farrah,Cantrell,fcantrell@university.com
9,Kayden,Price,kprice@university.com
10,Ellie,Bass,ebass@university.com
11,Lilianna,Watts,lwatts@university.com
12,Zariah,Bowers,zbowers@university.com
13,Kylie,Cameron,kcameron@university.com
14,Josie,Hopkins,jhopkins@university.com
15,Jaxon,Moon,jmoon@university.com
16,Andre,Richard,arichard@university.com
17,Matias,Little,mlittle@university.com
18,Abby,Sheppard,asheppard@university.com
19,Mina,Kidd,mkidd@university.com
20,Salma,Ortega,sortega@university.com
21,Trevon,Cline,tcline@university.com
22,Janae,Chandler,jchandler@university.com
23,Skyla,Barton,sbarton@university.com
24,Scarlet,Hines,shines@university.com
25,Pamela,Burch,pburch@university.com
26,Kelsey,Caldwell,kcaldwell@university.com
27,Gibson,Warner,gwarner@university.com
28,Allison,Witt,awitt@university.com
29,Taylor,Knight,tknight@university.com
30,Harley,Albert,halbert@university.com
31,Walter,White,wwhite@university.com
32,Michael,Scott,mscott@university.com
33,Chuck,McGill,cmcgill@university.com
34,Allan,Zanzeri,azanzeri@university.com
35,Jane,Villanueva,jvillanueva@university.com
